0,1,2,3,4,5
0.51,681.27,340.64,227.09,170.32,136.26
0.52,341.69,170.85,113.9,85.43000000000001,68.34
0.53,228.53,114.27,76.18000000000001,57.14,45.71
0.54,171.96,85.98,57.32,42.99,34.4
0.55,138.04,69.02,46.02,34.51,27.61
0.5600000000000001,115.44,57.72,38.48,28.86,23.09
0.5700000000000001,99.31,49.66,33.11,24.83,19.87
0.5800000000000001,87.23,43.62,29.08,21.81,17.45
0.59,77.85000000000001,38.93,25.95,19.47,15.57
0.6,70.35000000000001,35.18,23.45,17.59,14.07
0.61,64.22,32.11,21.41,16.06,12.85
0.62,59.13,29.57,19.71,14.79,11.83
0.63,54.83,27.42,18.28,13.71,10.97
0.64,51.16,25.58,17.06,12.79,10.24
0.65,47.98,23.99,16,12,9.6
0.66,45.21,22.61,15.07,11.31,9.050000000000001
0.67,42.77,21.39,14.26,10.7,8.56
0.68,40.61,20.31,13.54,10.16,8.130000000000001
0.6899999999999999,38.69,19.35,12.9,9.68,7.74
0.7,36.96,18.48,12.32,9.24,7.4
0.71,35.4,17.7,11.8,8.85,7.08
0.72,34,17,11.34,8.5,6.8
0.73,32.72,16.36,10.91,8.18,6.55
0.74,31.55,15.78,10.52,7.890000000000001,6.31
0.75,30.48,15.24,10.16,7.62,6.100000000000001
0.76,29.5,14.75,9.84,7.38,5.9
0.77,28.6,14.3,9.540000000000001,7.15,5.72
0.78,27.76,13.88,9.26,6.94,5.56
0.79,26.99,13.5,9,6.75,5.4
0.8,26.27,13.14,8.76,6.57,5.26
0.8100000000000001,25.61,12.81,8.540000000000001,6.41,5.13
0.8200000000000001,24.99,12.5,8.33,6.25,5
0.8300000000000001,24.4,12.2,8.140000000000001,6.100000000000001,4.88
0.8400000000000001,23.86,11.93,7.96,5.97,4.78
0.8500000000000001,23.35,11.68,7.79,5.84,4.67
0.8600000000000001,22.87,11.44,7.63,5.72,4.58
0.87,22.43,11.22,7.48,5.61,4.49
0.88,22,11,7.34,5.5,4.4
0.89,21.6,10.8,7.2,5.4,4.32
0.9,21.23,10.62,7.08,5.31,4.25
0.91,20.87,10.44,6.96,5.22,4.18
0.92,20.54,10.27,6.850000000000001,5.14,4.11
0.9299999999999999,20.22,10.11,6.74,5.06,4.05
0.9399999999999999,19.91,9.960000000000001,6.640000000000001,4.98,3.99
0.95,19.63,9.82,6.55,4.91,3.93
0.96,19.35,9.68,6.45,4.84,3.87
0.97,19.09,9.550000000000001,6.37,4.78,3.82
0.98,18.85,9.43,6.29,4.72,3.77
0.99,18.61,9.31,6.21,4.66,3.73
1,18.39,9.200000000000001,6.13,4.600000000000001,3.68
